NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
RO111,-0.036153317388179576,-0.05023454914244159,-0.02503782687973345,-0.008053590414005924,96,0.479
RO112,-0.024200611197178347,-0.03458608589677153,-0.018437456976402915,-0.00967338155473947,109,0.349
RO113,-0.02483305212856017,-0.03638085598334116,-0.0199973526632566,-0.010144616921414561,72,0.375
RO114,-0.016567872447939145,-0.024001009019509106,-0.013414235463090356,-0.004867234061028788,57,0.193
RO115,-0.06296677305717051,-0.09304482504058081,-0.04118589572595842,-0.024167893680478992,94,0.681
RO116,-0.14506840554212067,-0.22980451328664162,-0.1805385640373653,-0.026498180445590075,67,0.746
RO121,-0.022138075258146754,-0.036388519983875364,-0.01785378438398135,-0.00624505191110126,63,0.365
RO122,-0.011737532090209812,-0.019503164203386693,-0.010056684519299437,-0.00255978067314289,12,0.083
RO123,-0.18303365043273293,-0.200584398785336,-0.09860442544337532,-0.046574742207421874,54,0.889
RO124,-0.09582670559582042,-0.16275228786509802,-0.07670414546256049,-0.02703117327089741,79,0.747
RO125,-0.01512395478201744,-0.021660919038621784,-0.010871505344783141,-0.005955944017016459,29,0.138
RO126,-0.013491716277155874,-0.02057016631037404,-0.010063177819839404,-0.004965622537138473,36,0.139
RO211,-0.03295101711288854,-0.04478874718326082,-0.023156030615238004,-0.011423082181787968,115,0.409
RO212,-0.05893425860266313,-0.08252156728215539,-0.05124829685248718,-0.02204327058703117,108,0.694
RO213,-0.048481706792160364,-0.06612674922652848,-0.04039641294265132,-0.02111491134953255,101,0.653
RO214,-0.08430160909822605,-0.1256635498664239,-0.06474228272994526,-0.0304889298663517,88,0.818
RO215,-0.039026411152797834,-0.062478852500864025,-0.03454260671553519,-0.01429620654222852,61,0.59
RO216,-0.42344869944745944,-0.5386562992743824,-0.2705515419666237,-0.14020201263999915,35,0.971
RO221,-0.28307065194528924,-0.3913733081094571,-0.22381210226777157,-0.07636606427865832,48,0.896
RO222,-0.05446575159689377,-0.08103189048443157,-0.038710916581854285,-0.014555750715774396,109,0.624
RO223,,,,,0,0.0
RO224,-0.028404007897068435,-0.04167297494916779,-0.024023081794148245,-0.010287314242716835,79,0.443
RO225,-0.51175060735317,-0.6888512166503491,-0.3365132536664193,-0.22390731471044029,31,0.935
RO226,-0.057947084576045554,-0.06807749148905219,-0.044701540176263564,-0.015862661221401477,110,0.618
RO311,-0.36922843367452274,-0.4532604036245841,-0.16614136194367266,-0.05049590569000674,34,0.941
RO312,-0.0701895904464546,-0.09479645541001282,-0.05286312421203201,-0.020799139709947408,103,0.67
RO313,-0.06320232415836836,-0.09276530836014904,-0.044606862066758526,-0.021436503202407066,104,0.683
RO314,-12.3096183422524,-13.969007332017677,-12.3096183422524,-10.650229352487122,2,1.0
RO315,-0.3689587565187645,-0.42441124597891766,-0.26089345177359774,-0.11232984664739946,39,0.923
RO316,-0.8749217171241854,-1.057232656086619,-0.47077510441671744,-0.3191770911321507,19,1.0
RO317,-1.0282954411605048,-1.4445975761233265,-0.43898891097509457,-0.17746587791558716,17,0.941
RO321,-36.35134809037418,-36.35134809037418,-36.35134809037418,-36.35134809037418,1,1.0
RO322,-5.1239169964314835,-6.963453701505007,-6.158911595608937,-2.4817275338829456,5,1.0
RO411,-0.5353811096315835,-0.7463954384061295,-0.4712591525570041,-0.30610829043424087,30,0.933
RO412,-0.17311248060495282,-0.26340647199509903,-0.09946169621526804,-0.037873118150037015,66,0.848
RO413,-0.040509082624282655,-0.05288934401644611,-0.02863626905609458,-0.01351911408440778,105,0.514
RO414,-0.10643889949562503,-0.14259766418798966,-0.06069071007681674,-0.02981114208396456,84,0.786
RO415,-0.08360435662543911,-0.12091588124935027,-0.04216645710778674,-0.020904845840674226,92,0.663
RO421,-0.04194854269907467,-0.07116571145985717,-0.024180952843554312,-0.010825150247776697,99,0.465
RO422,-0.018111240641728945,-0.019135694537814572,-0.010092981879582021,-0.006059831354801634,12,0.25
RO423,-0.05532236817760563,-0.09997507310031349,-0.029479076676651353,-0.009815211474089059,92,0.533
RO424,-0.040010526989852524,-0.06574809169820454,-0.020212319731879896,-0.008483995211426575,98,0.418
