NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
RS110,-0.6189617478386,-0.7501285928157433,-0.49950871085386833,-0.24216453407026198,24,1.0
RS121,-0.03981097039065315,-0.0618614356110575,-0.020028737386687687,-0.0073494485484148445,82,0.463
RS122,-0.023876544037369708,-0.0351381769649744,-0.017374365956141356,-0.010294583698984363,76,0.395
RS123,-0.18706808489680068,-0.2536729495440549,-0.15407994436525235,-0.06716918474595984,57,0.895
RS124,-21.12383409437955,-21.12383409437955,-21.12383409437955,-21.12383409437955,1,1.0
RS125,-0.32704442042861837,-0.37393498651013135,-0.27072567678817905,-0.07986731241574718,40,0.9
RS126,-0.029572465578223014,-0.03548872563183904,-0.020799923447487826,-0.009068767984695913,108,0.407
RS127,-0.021476235461964227,-0.026236655087841353,-0.014096102252504718,-0.006396533117646492,46,0.261
RS211,-0.03464079172668225,-0.05332947549285506,-0.027092394608148412,-0.01281469961101714,27,0.519
RS212,-0.06575685971974897,-0.09867780474095073,-0.03080363231098804,-0.014167885674421938,105,0.571
RS213,-0.3224154930241759,-0.36996702786531394,-0.2785749426825863,-0.12396836924411545,42,0.929
RS214,-0.35789803653050206,-0.5022583069729781,-0.3223695388759316,-0.12203485756212719,38,0.947
RS215,-0.2716366195438517,-0.3478870212906153,-0.20822281659351208,-0.12981481865603622,45,0.956
RS216,-0.029569303556212564,-0.03376885441159057,-0.019975862422198478,-0.007397376982091514,104,0.394
RS217,-0.05117336030434124,-0.07634602705694324,-0.041619422884089,-0.013077402602263154,99,0.586
RS218,-0.7035207215532858,-0.9589138438245226,-0.4449207612118267,-0.17919225983395837,20,1.0
RS221,-0.020793462426855053,-0.024861994872029135,-0.013952021816918639,-0.006727616247837034,63,0.238
RS222,-0.08754017273683093,-0.13956714253022523,-0.048707106850973014,-0.02066674829507186,92,0.674
RS223,-0.05641209746188172,-0.08210764852621362,-0.030400990858541872,-0.013292610789149525,110,0.573
RS224,-0.4453525990562742,-0.6283208123791797,-0.34176519671790623,-0.22935944088169957,31,1.0
RS225,-1.031966084090488,-1.858119887802521,-0.48898438432897406,-0.39797509596906583,16,1.0
RS226,-0.023965756317169257,-0.034758264676956856,-0.018429919207431544,-0.00992703165236454,77,0.39
RS227,-0.07172046070733694,-0.09851322961926276,-0.041125352923353925,-0.01735064240619747,115,0.635
RS228,-0.08596863533240165,-0.1535106200527131,-0.03834337198012537,-0.017087279650700987,106,0.613
RS229,-0.11046112321891065,-0.18562905030696453,-0.0677075375359065,-0.021664000086093472,86,0.709
