NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
SE110,-0.032562815420408966,-0.04763230332389558,-0.019163493870152558,-0.00932631923716889,109,0.679
SE121,-0.030214946305558873,-0.042054574646765715,-0.017994673903452635,-0.008138767142161744,117,0.658
SE122,-0.03495718161993411,-0.04561810166387488,-0.025160004958463503,-0.011196752655042025,107,0.738
SE123,-0.03688777191429859,-0.05543880432184139,-0.02351299664204699,-0.01370037625525734,105,0.781
SE124,-0.0358616749102874,-0.04975078162751287,-0.024215564647779672,-0.011502880097758598,107,0.738
SE125,-0.03162234198947494,-0.04006110965952522,-0.020966558257255526,-0.009564065530414055,116,0.716
SE211,-0.03426086165881666,-0.044910832593439295,-0.026209998489815114,-0.012292521376140546,112,0.777
SE212,-0.032070637102872716,-0.0419195276625275,-0.023466765816365028,-0.012055018201083765,111,0.748
SE213,-0.03085174852294946,-0.04205689898152499,-0.02311632576537983,-0.010444361995580746,116,0.724
SE214,-0.0317681355424596,-0.04367035325423312,-0.01910407486526783,-0.010392424218669871,117,0.701
SE221,-0.030726244911533432,-0.04128343417315379,-0.021537462891085185,-0.013383272386680734,117,0.795
SE224,-0.035714191121712716,-0.049576058882581715,-0.023312894776549284,-0.014305824884752842,104,0.779
SE231,-0.03167618190385535,-0.04123169775066321,-0.022707725828058304,-0.010407810142813525,115,0.704
SE232,-0.037370232066369434,-0.04541531503667669,-0.02591389168194458,-0.016249422579257204,105,0.8
SE311,-0.03044353543324991,-0.04309706759881425,-0.024211420070181712,-0.009982056158070522,118,0.729
SE312,-0.02879861782904983,-0.03573941825558094,-0.020661054214401134,-0.011647091016256618,118,0.746
SE313,-0.030942983982172684,-0.046909707763536874,-0.020094043667892757,-0.009773726858237167,121,0.702
SE321,-0.033734836448272694,-0.04695052908207128,-0.021339763068710667,-0.01063943109799393,112,0.732
SE322,-0.02747252659512128,-0.036944519664385535,-0.020434182497239318,-0.009741455801819055,101,0.703
SE331,-0.02476817808328008,-0.031085906879921615,-0.014698226945940324,-0.007703246453180743,111,0.622
SE332,-0.024479775455825324,-0.03313449568980081,-0.014993856778717621,-0.006769675628754201,106,0.594
