NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
SI031,-0.14882080224329045,-0.23737026727642968,-0.13643440448692612,-0.05173999827651986,68,0.838
SI032,-0.10470770253797532,-0.1644629887448405,-0.0765176960637313,-0.02545018646693508,79,0.696
SI033,-0.5191670358887258,-0.773507058241688,-0.3899796876984274,-0.347527453200865,29,0.966
SI034,-1.8501574597156523,-2.892861792420515,-1.3636774836588375,-0.5633240191405757,10,1.0
SI035,-0.030582039377366557,-0.03649457141628305,-0.023195142900265447,-0.010822547104295241,105,0.352
SI036,-23.794232457841897,-23.794232457841897,-23.794232457841897,-23.794232457841897,1,1.0
SI037,-0.06414791509279902,-0.09596326438843561,-0.06351318941560716,-0.015416263768534227,65,0.646
SI038,-0.2264054396894848,-0.3122084898163004,-0.2678174526444221,-0.035726663769248476,55,0.818
SI041,-0.023496600106981538,-0.030898960790959953,-0.01555684147440448,-0.008311245632172545,97,0.268
SI042,-0.011367600546170977,-0.011367600546170977,-0.011367600546170977,-0.011367600546170977,1,0.0
SI043,-0.01139412624077397,-0.016290453356877697,-0.0077750595347100375,-0.004514072817167746,27,0.037
SI044,-0.02369550700693679,-0.03164362862635832,-0.01724007442009024,-0.00808657854738131,100,0.28
