NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
TR100,-0.09370483849851585,-0.12268594670895203,-0.07142517074057855,-0.040897960549200696,119,0.824
TR211,-0.10583970417990082,-0.14660265064767056,-0.07316926913624229,-0.03975618768116389,109,0.844
TR212,-0.10374530869198013,-0.13181709607913047,-0.07919122817648494,-0.04000129295827445,114,0.842
TR213,-0.08673443932352076,-0.11499821685081502,-0.061393329586695834,-0.03874899111296113,121,0.818
TR221,-0.10664974452311464,-0.13457065096377596,-0.08100761984280214,-0.0417497297330133,104,0.875
TR222,-0.10962750945687921,-0.1441450377144096,-0.08546652238664611,-0.03999047413785602,105,0.876
TR711,-0.09749364629637537,-0.13248771787198554,-0.07411011514714025,-0.043758541422834585,110,0.864
TR712,-0.09794329655623646,-0.12929339162081585,-0.0758636114451374,-0.03978840249222755,112,0.857
TR713,-0.09210454613823651,-0.11223769033377146,-0.07263674762574218,-0.0394030550177744,118,0.822
TR714,-0.09047715589884792,-0.11145416776883935,-0.07498016089128168,-0.03430415298675836,119,0.849
TR715,-0.0998289400345447,-0.12584099658266049,-0.07775302403081898,-0.038772541718081796,112,0.866
TR721,-0.08773872573520315,-0.10858779671179408,-0.0662118250883163,-0.041444074267850274,108,0.824
TR722,-0.08376119446005788,-0.11422927323200538,-0.05981046272099391,-0.026243282860474546,110,0.745
TRB12,-0.09878548461188746,-0.13361645351940069,-0.07548160740052579,-0.031255756952817695,100,0.8
TRB13,-0.09790345899669224,-0.142213772724707,-0.07350242392498633,-0.033104658687995635,98,0.806
TRB14,-0.0847340684336543,-0.11409095155327979,-0.06850956283964404,-0.02573966416741101,106,0.745
TRB21,-0.09883336336649161,-0.12012724466794014,-0.06437918799215483,-0.03064832767878397,104,0.808
TRB22,-0.08551713899586136,-0.11339896726506005,-0.0664005882116216,-0.024855173669547245,112,0.732
TRB23,-0.10470322925301731,-0.14085554003417738,-0.06580457602689957,-0.027916296502843507,99,0.768
TRB24,-0.1268227227443909,-0.16687087082001156,-0.08568794394556296,-0.03845618484542318,99,0.818
TRC11,-0.12461599580064131,-0.1732856722909622,-0.10563012765468244,-0.03603734997410805,94,0.787
TRA22,-0.07461590041031164,-0.10615685741022027,-0.05914237171661196,-0.02765300554510531,112,0.759
TRA23,-0.08626683450137215,-0.12254825247782992,-0.056859676577986434,-0.030790297339593112,115,0.809
TRA24,-0.06010534517548054,-0.07776498844833526,-0.04708051362436146,-0.02418266555609281,120,0.725
TRB11,-0.11119848422952697,-0.1582709922966582,-0.0876744586643834,-0.032043273408947484,97,0.784
TRC12,-0.13056373127718687,-0.18470991279758525,-0.09753350271700918,-0.03800490044053882,89,0.809
TRC13,-0.11503822527351329,-0.17847079485791503,-0.06937288321781333,-0.030515148186333742,101,0.802
TRC21,-0.14023262410364942,-0.20515750872710847,-0.10350545141598674,-0.05775611096070835,91,0.846
TRC22,-0.10066951066007815,-0.1315737589662787,-0.08418511739914411,-0.03360374125985864,97,0.773
TRC31,-0.15677618404974866,-0.2086314502148958,-0.10245723969933987,-0.06154172972355268,80,0.888
TRC32,-0.1201384199720323,-0.15105819945122365,-0.08668579516167382,-0.03843755803197203,95,0.821
TRC33,-0.11556953884186262,-0.14946961731685146,-0.08675521255940806,-0.02796078048279309,98,0.796
TRC34,-0.11384389737408006,-0.15415330784380293,-0.07657924152831672,-0.026245012601456542,97,0.742
TR310,-0.09176680899432194,-0.12256849137736578,-0.0708640768651076,-0.03580294982340039,118,0.839
TR321,-0.09685022792657617,-0.13690173498197108,-0.06599626977087042,-0.026055244924013773,112,0.75
TR322,-0.088499324057139,-0.11401354299302503,-0.06649582632997407,-0.027641811184475847,120,0.767
TR323,-0.09339086656237874,-0.11778053794739321,-0.05627004436382818,-0.028397145910709937,106,0.783
TR331,-0.09818521410669931,-0.1313729206212934,-0.07682341995520964,-0.03587709540300913,115,0.826
TR332,-0.11175419842559883,-0.13446053666784932,-0.08101938482513317,-0.04395264413113994,104,0.865
TR333,-0.11405136217980359,-0.14740543795738445,-0.08686430973346412,-0.04899974941530238,101,0.891
TR334,-0.11192211795083815,-0.13912242608847772,-0.08898710600244915,-0.04829453108306311,104,0.894
TR411,-0.10464324816262607,-0.13906681573063265,-0.07210670429136823,-0.04708645211818302,106,0.877
TR412,-0.09587563434489733,-0.12432415451893315,-0.07619119309571708,-0.03768711579594573,114,0.842
TR413,-0.08348084122578343,-0.10581243122963067,-0.0660883623333132,-0.031076727837766854,120,0.808
TR421,-0.09227682627495494,-0.11570120226601063,-0.07305318171407758,-0.03917063788807364,115,0.843
TR422,-0.0817534664953659,-0.10705684808184016,-0.06490600874369912,-0.03064918807623342,119,0.807
TR423,-0.07785676643983329,-0.10316187908172623,-0.06277227043528967,-0.033355505213125955,119,0.84
TR424,-0.08797599819716123,-0.10977355135185457,-0.0675301317805391,-0.042856533608233424,113,0.841
TR425,-0.0953961860764653,-0.1358673082729004,-0.0746501869982317,-0.04416454612109599,111,0.91
TR510,-0.09584030963683333,-0.11938795664943407,-0.07606475016261527,-0.04333823491201159,112,0.795
TR521,-0.09271021798974559,-0.11448612561666943,-0.0667472598073524,-0.02981320289452489,103,0.825
TR522,-0.11868355607170157,-0.1641413046572379,-0.0808453054280065,-0.03674354645523083,99,0.818
TR611,-0.1064822863731247,-0.14183594530785448,-0.056414133515540116,-0.02838369806750963,107,0.757
TR612,-0.10737749749953379,-0.14567604129583483,-0.06966749733001067,-0.027915272338910644,105,0.8
TR613,-0.11843443207605926,-0.15729505346131245,-0.07748919526579483,-0.036346987774924296,102,0.824
TR621,-0.10641938822562173,-0.1413590898884352,-0.07451233241539759,-0.03634058096362757,107,0.822
TR622,-0.11309341655029528,-0.1482487590382671,-0.0834599511669645,-0.03223813052071137,102,0.814
TR631,-0.10707146744101496,-0.147552952781888,-0.08875828707852548,-0.04566756281738671,100,0.85
TR632,-0.09469582821687984,-0.1419786808373253,-0.05954689048717402,-0.022802772641593815,109,0.716
TR633,-0.09208607829764087,-0.12562222198864959,-0.07186706475683956,-0.026660253037457282,109,0.752
TR723,-0.09547384032485708,-0.12459452939695036,-0.07522375119952357,-0.03945335603329237,109,0.844
TR811,-0.06834407144533389,-0.08695011692143362,-0.049329069394400765,-0.030554648948263437,124,0.79
TR812,-0.08759982465578826,-0.1143207164772676,-0.06602677004885685,-0.03501351886342574,116,0.845
TR813,-0.07406324572122595,-0.09216357652717805,-0.059475940011652864,-0.030212864451556777,117,0.829
TR821,-0.07030239644059105,-0.08574382150282266,-0.04883383044590807,-0.028892781244664482,116,0.81
TR822,-0.11419718103358341,-0.14762904438942917,-0.08527725293104832,-0.0488770885496389,105,0.867
TR823,-0.07419571297045553,-0.09558476226092427,-0.05799025923750924,-0.02748610027667973,118,0.763
TR831,-0.07402164162779074,-0.09709594544559526,-0.05777353453130963,-0.034522088604093275,121,0.81
TR832,-0.08126250318008543,-0.10228237501748652,-0.06377641673111896,-0.0324246631731111,115,0.8
TR833,-0.09625232328567614,-0.13788901106045637,-0.07711562217121025,-0.04005602030762945,111,0.856
TR834,-0.08677010365615875,-0.11864084387254566,-0.06783310576909816,-0.0371800308935689,115,0.852
TR901,-0.04880444651731125,-0.06454086070477512,-0.03710251018512494,-0.02134630993696274,138,0.63
TR902,-0.0718677426813519,-0.1010902074016426,-0.06269139019067116,-0.026417720781332536,125,0.752
TR903,-0.0742356912700671,-0.10381887486520172,-0.0622873106209207,-0.03309423929961444,121,0.818
TR904,-0.059115589179327604,-0.0738234006937329,-0.04369497829325085,-0.025051555964193936,127,0.717
TR905,-0.05231421590032235,-0.06353411094922676,-0.036797005392196096,-0.015797064166749617,133,0.639
TR906,-0.06052765195620324,-0.08287802667441471,-0.04725374085790919,-0.022895719994535886,120,0.7
TRA11,-0.06772000221776603,-0.09690015713767677,-0.0495336234336597,-0.019503001732543615,117,0.709
TRA12,-0.07545189853935867,-0.1063736389071549,-0.05530071122513493,-0.026266469346633195,106,0.736
TRA13,-0.07373355656892587,-0.09929174442990543,-0.05538485733786705,-0.028198906550085726,114,0.781
TRA21,-0.09638135004115897,-0.12229844115430907,-0.07377361998610446,-0.03686234599915844,107,0.804
