NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
TR100,-0.03866990790472714,-0.053290395548702026,-0.024823044996439465,-0.012466319952673891,114,0.719
TR211,-0.05070047896309356,-0.07166300552681536,-0.03529581047850877,-0.019441800792243093,113,0.805
TR212,-0.05770496095380796,-0.08557689901598858,-0.04700050622627097,-0.01640062732225599,106,0.792
TR213,-0.04770627870922656,-0.0676527079385035,-0.035010292770824125,-0.014727979887674353,115,0.774
TR221,-0.04803793385641155,-0.07230135754768079,-0.03909933302519412,-0.015552266747206275,111,0.802
TR222,-0.04309737522939173,-0.06516584577570025,-0.03278543970747471,-0.013672773724967231,118,0.746
TR310,-0.048479858673374975,-0.06578945529297237,-0.03562473617052308,-0.014278306970630724,110,0.764
TR321,-0.050796217772505835,-0.07129483314502223,-0.03456516671703847,-0.015553011733563781,108,0.787
TR322,-0.049869496208036566,-0.0641823621510635,-0.03700548447666145,-0.015826841541565464,108,0.778
TR323,-0.05010890652396591,-0.06412908457562023,-0.03331660565132344,-0.011818259264975341,106,0.726
TR331,-0.04524693093005442,-0.061410113794625666,-0.03436186106691146,-0.015581194148776543,112,0.786
TR332,-0.05119022027626419,-0.06638034463450755,-0.04209098729365482,-0.02678375949960594,99,0.919
TR333,-0.04063357269647088,-0.05989645137411076,-0.02812046322660343,-0.01565435355206197,111,0.775
TR334,-0.04963404324636122,-0.06515261254431062,-0.03946324805782968,-0.019814306093711112,105,0.829
TR411,-0.04147856775318301,-0.05435743136114377,-0.03344663007261174,-0.015672212958480126,114,0.763
TR412,-0.04725397530928548,-0.060583322173797284,-0.038567892804502034,-0.021066440755556467,107,0.86
TR413,-0.041328982467760476,-0.05379047042670365,-0.03028769422339979,-0.015708307559011012,101,0.782
TR421,-0.038645861463633156,-0.053069204029141226,-0.026659396182877403,-0.014325146063561939,120,0.758
TR422,-0.035937600365489174,-0.048492312976468076,-0.023930321522300353,-0.012436858675225424,117,0.718
TR423,-0.040413196827256075,-0.055566269534286734,-0.027650873538039886,-0.014320392201807551,111,0.766
TR424,-0.035230310875632366,-0.05061919657399722,-0.02551681612892606,-0.012687919612509603,113,0.743
TR425,-0.03458334822113943,-0.050747997867126214,-0.023544384529029485,-0.010494926780351736,119,0.681
TR510,-0.04135294842177018,-0.056983518325720656,-0.03280946685617703,-0.015335070596412387,108,0.759
TR521,-0.04640021900634234,-0.06490938164653158,-0.03888395934392002,-0.016958078319971884,111,0.811
TR522,-0.05452921995054643,-0.07972890392088386,-0.03901448236634886,-0.015952644020496124,116,0.767
TR611,-0.04602743200391966,-0.06290606901312942,-0.03311588756654385,-0.012860188867259993,114,0.746
TR612,-0.04466668647758993,-0.0649679370538277,-0.03848128816930831,-0.012650411466512024,116,0.733
TR613,-0.04769202439481606,-0.06265244639891784,-0.03495397417237175,-0.01683004550534772,114,0.781
TR621,-0.06123599406989558,-0.0841735356680866,-0.04051429651536128,-0.0186979570746285,103,0.825
TR622,-0.06144158337946868,-0.08893476999796907,-0.0406175536103529,-0.016720614742969174,109,0.817
TR631,-0.06152412668539122,-0.08249618784416875,-0.04435194106825168,-0.025224901662628058,103,0.874
TR632,-0.05846270058835141,-0.08528044239887221,-0.04507578556715106,-0.020129305709356973,105,0.819
TR633,-0.06557346968230468,-0.09887091500656583,-0.04533805024878892,-0.02704949638130154,102,0.853
TR711,-0.04185696993452666,-0.05419537900752375,-0.03530766954013771,-0.015112604175154334,114,0.772
TR712,-0.04414682202282595,-0.06573310214210035,-0.03091334552489514,-0.011036309173982935,123,0.715
TR713,-0.051816070107152216,-0.07054890147337226,-0.03438299119933189,-0.012586440563073224,112,0.741
TR714,-0.04395571961977829,-0.06623984075630707,-0.0303004130936154,-0.014110292980002402,114,0.754
TR715,-0.0405512518871567,-0.05813488229592387,-0.030102700182661243,-0.014042184016356306,119,0.756
TR721,-0.042991013655571036,-0.05654685403754697,-0.031417299073599636,-0.01555767741885863,119,0.79
TR722,-0.034330368715963906,-0.04633411191249344,-0.021366333825531797,-0.012985349559610816,124,0.742
TR723,-0.033256932636633936,-0.04713811868786495,-0.02269439523797614,-0.010198862231890732,125,0.664
TR811,-0.0358006712096192,-0.049822721415799825,-0.024373817482853506,-0.014079848030465674,122,0.754
TR812,-0.036990289368038345,-0.05229437875503572,-0.025546402275716647,-0.01335612324181338,113,0.743
TR813,-0.038495305504131695,-0.0524410841536274,-0.025835570741760964,-0.015720288289639492,115,0.765
TR821,-0.03192142404680219,-0.04339949484236387,-0.02280385458005483,-0.012123917921947027,125,0.728
TR822,-0.04690081312877017,-0.059699202475471114,-0.03414003584143568,-0.01821000827344042,107,0.85
TR823,-0.03795889941838504,-0.047972707752822405,-0.024995231946361683,-0.011506479143181005,123,0.715
TR831,-0.03347577177382909,-0.03896723201874775,-0.025317647061847283,-0.013960000609400324,117,0.752
TR832,-0.031775082123019514,-0.03989654709576132,-0.020302070845214973,-0.008793401538485757,126,0.683
TR833,-0.038844817225127504,-0.047038821165071125,-0.028992682333653243,-0.013570631388242736,118,0.754
TR834,-0.03284544644477957,-0.04011564220425767,-0.023915660746258,-0.012522949258481535,123,0.74
TR901,-0.029644330088755496,-0.03697055767348724,-0.022499539729363884,-0.011891038119345231,118,0.695
TR902,-0.03144448873095658,-0.03832589749741672,-0.02172307331046266,-0.013128112120511678,123,0.74
TR903,-0.027971655422653584,-0.03530656444161024,-0.0221173274958946,-0.0094918905566596,127,0.63
TR904,-0.029408012513914873,-0.04261804492562782,-0.02217266183260346,-0.009555285368299221,119,0.622
