NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
TR100,-0.07776499640832513,-0.11415860512820818,-0.05254080290219185,-0.02539532875390152,97,0.649
TR211,-0.07952076766362168,-0.11025150125629746,-0.06444105983785528,-0.02790816351760629,90,0.7
TR212,-0.07405210480341827,-0.10155279363688378,-0.057138414557723734,-0.027416941532920052,105,0.657
TR213,-0.0561463356825227,-0.08525528528620373,-0.04363039024015651,-0.021251991322632963,105,0.581
TR221,-0.09137802422675056,-0.11912467278423491,-0.06358058957897343,-0.03042383768178478,81,0.704
TR222,-0.08899688538869571,-0.10575446473551037,-0.06381970488765941,-0.035799584597703854,82,0.756
TR310,-0.06624088613287914,-0.09226084364068081,-0.061380558686290825,-0.04054834242389437,46,0.804
TR321,-0.15958674283100727,-0.19407992386570633,-0.17465918501950398,-0.14307880574846754,44,0.955
TR322,-0.024131054940427457,-0.03631847229177876,-0.01767367479687761,-0.0070472578127161985,73,0.274
TR323,-0.09971488249497597,-0.13741057699372425,-0.10648788116035779,-0.061944724887804115,48,0.833
TR331,-0.037125960558900085,-0.052959371080783295,-0.03167900216883518,-0.014137575232801725,62,0.435
TR332,-0.0542411611005494,-0.06917112596621856,-0.04130212323565571,-0.023039594014264284,124,0.589
TR333,-1.5116555241078964,-2.2227681420715855,-0.9914037099803432,-0.5285995695063346,14,1.0
TR334,-0.4455960793908184,-0.5048992532301412,-0.48444100526037404,-0.4254305817875785,43,0.977
TR411,-0.06828537007419481,-0.10369325584689858,-0.046330440157381525,-0.01740405669299969,98,0.571
TR412,-0.07843799060104703,-0.11793299322054471,-0.056445864849793845,-0.016698459580625734,80,0.638
TR413,-4.769844973502645,-3.4583356442701296,-3.349832671876157,-3.2849459400345307,5,1.0
TR421,-0.41423312133754986,-0.5249167520202898,-0.485571272520068,-0.40914969864820605,48,0.896
TR422,-0.26446782300186966,-0.3718949030416546,-0.3017241863786767,-0.20621396124370267,52,0.885
TR423,-0.3624535472767035,-0.46232234422264373,-0.4073593510743399,-0.34468443467395393,47,0.915
TR424,-0.2010555071337168,-0.2776592726080189,-0.22213090874003716,-0.11105234121849035,50,0.94
TR425,-0.22280932390702707,-0.3621904603449183,-0.2913696294546902,-0.030044118209348852,69,0.696
TR510,-0.0026852454166890944,-0.0026852454166890944,-0.0026852454166890944,-0.0026852454166890944,1,0.0
TR521,-0.06979005019955407,-0.09065064253768224,-0.07318846414264349,-0.046396254049935665,40,0.8
TR522,-0.15667365658286395,-0.2504588192589652,-0.10989122133064723,-0.034623819293785864,75,0.747
TR611,-0.01830062953321989,-0.02705073142710884,-0.010081798698416805,-0.0024665097454043892,25,0.12
TR612,-0.01555675293251341,-0.023229714359427202,-0.011145581834576656,-0.0034726204076628653,4,0.25
TR613,-0.08275076532765545,-0.11177051051721269,-0.07488212640679717,-0.022013970064309895,94,0.681
TR621,-0.05315269232812248,-0.0686457556085813,-0.03756250175093963,-0.019332016954919574,94,0.564
TR622,-0.05638161325148435,-0.08038079463244145,-0.04059149747668489,-0.013642006194051481,56,0.554
TR631,-0.11201608396670816,-0.18820418237961675,-0.08812395918356503,-0.04513557903162638,84,0.81
TR632,-0.028696383865137672,-0.036910035158369846,-0.014553575066121656,-0.004746501866859878,107,0.252
TR633,-0.5136891021603852,-0.5394959652279963,-0.4981429755579504,-0.4481525040039529,39,0.897
TR711,-1.3670707979356598,-2.1891050885476857,-1.3939784577060081,-0.6758838095389189,21,0.81
TR712,-0.3998925861169113,-0.5781309623223887,-0.5386078190336578,-0.015505983302516036,56,0.714
TR713,-1.7905122797830337,-2.594980807163413,-1.3796679252310953,-1.0249926592179608,12,0.917
TR714,-0.8911631167959669,-0.8090720488498112,-0.7642009178497949,-0.7422737157137839,34,0.912
TR715,-4.3512029653586834,-7.484022716070582,-3.7921039781725794,-1.7843578005432748,6,0.833
TR721,-0.11104010281542306,-0.16210736310320248,-0.08815173668654533,-0.044357735468483386,82,0.805
TR722,-0.044995211288389604,-0.06412486922063598,-0.05068178011713888,-0.022925003899310695,50,0.66
TR723,-0.026633603403575977,-0.038473596956433924,-0.025557518597295773,-0.011493917714522142,87,0.299
TR811,-0.48598848332980915,-0.7589710262235873,-0.3702004148091023,-0.16154972969064244,33,0.788
TR812,-0.9767943869217166,-0.9616260543710249,-0.6417728857076279,-0.2581435716347829,16,1.0
TR813,-0.03848477575894867,-0.05367882276144874,-0.026447719274281516,-0.013564175006910695,114,0.421
TR821,-0.011255430565402976,-0.017497553332578866,-0.009826404362214602,-0.004958668276839258,14,0.0
TR822,-0.9146108281164151,-1.2889702233600224,-0.8025275350025888,-0.4509493237182277,19,1.0
