NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
UKC11,-0.02688111145619729,-0.0385426456594847,-0.022724640113046715,-0.011371230390025787,118,0.763
UKC12,-0.0254718965682003,-0.03718646078703694,-0.020007617855864315,-0.008931844547342808,127,0.724
UKC13,-0.024644190815758752,-0.033537633355289115,-0.020697581904141393,-0.010339764608804024,122,0.721
UKC14,-0.02258009971296184,-0.03126176868309501,-0.019121170518363845,-0.009687721930868039,128,0.703
UKC21,-0.0223798241507945,-0.029693544077777793,-0.01745839312759196,-0.010027491902194444,126,0.714
UKC22,-0.02403843818972391,-0.032385743424833226,-0.01881587480750776,-0.009912451610845883,122,0.738
UKC23,-0.02558511611399186,-0.03491365714480228,-0.023128498981502495,-0.010688846274750065,121,0.736
UKD11,-0.02332322044116384,-0.03320990653468184,-0.02034171378381662,-0.008459889032182567,122,0.68
UKD12,-0.025103020592773615,-0.032572398239831685,-0.02110241848628287,-0.009825234030506214,123,0.715
UKD33,-0.023899780420876215,-0.030888038230855727,-0.01889035109084968,-0.00973042937133699,118,0.712
UKD34,-0.02516564626151582,-0.033993460402744924,-0.020768406474010518,-0.009248825477689794,117,0.709
UKD35,-0.023899780420876215,-0.030888038230855727,-0.01889035109084968,-0.00973042937133699,118,0.712
UKD36,-0.026223795223965687,-0.03664401441254517,-0.021148431531294126,-0.00958204802350035,114,0.711
UKD37,-0.023993424844649957,-0.033112480287290476,-0.020030186510972194,-0.009555714924520654,118,0.703
UKD41,-0.023787775952479603,-0.0326237840611433,-0.019850207522841286,-0.009270980375499088,119,0.647
UKD42,-0.02509396753354176,-0.03429614570411236,-0.020916352341956934,-0.007896431828251714,119,0.681
UKD44,-0.024137057213963347,-0.03403390669287676,-0.02117600095992304,-0.009367059729618649,123,0.667
UKD45,-0.02380132535249136,-0.033576612865507914,-0.01790770699406962,-0.00799349056027313,120,0.692
UKD46,-0.02157481019803357,-0.02824142632621223,-0.018457148648387905,-0.008673535321462334,121,0.669
UKD47,-0.02774326859736084,-0.039332055178652896,-0.022404478686568464,-0.008775313609612886,114,0.684
UKD61,-0.028804965264577823,-0.0412816411727372,-0.019633273130565454,-0.010043426685457315,115,0.73
UKD62,-0.02942359727066967,-0.03866044693115896,-0.02267486389085381,-0.012212949809483413,116,0.784
UKD63,-0.02952602532678214,-0.04325292926345637,-0.022281417961185292,-0.010565552617209924,113,0.735
UKD71,-0.025982537428230125,-0.03714280900829359,-0.020766803821220727,-0.008940352879520209,117,0.675
UKD72,-0.02762897989568077,-0.040714062589693026,-0.02169990543930302,-0.009476472384137416,113,0.69
UKD73,-0.027417914296111526,-0.03935034810335212,-0.02051713903663736,-0.00897629145147257,115,0.678
UKD74,-0.02762897989568077,-0.040714062589693026,-0.02169990543930302,-0.009476472384137416,113,0.69
UKE11,-0.029488618661110664,-0.04265127170096932,-0.024672040197930453,-0.009971943811644427,122,0.738
UKE12,-0.027483682352181262,-0.0389751512376913,-0.022859285194509603,-0.010610329402246727,121,0.736
UKE13,-0.027269033018414927,-0.04082943783563271,-0.02117303891968746,-0.009473180137276672,121,0.702
UKE21,-0.024864222019706617,-0.03698268070533693,-0.02063137873148392,-0.008463239783265828,127,0.717
UKE22,-0.023790552637604406,-0.03335171535797085,-0.019300359376115114,-0.009985631950346106,122,0.738
UKE31,-0.025738363280578474,-0.03450120120625242,-0.019599857489778657,-0.01186031863291665,121,0.777
UKE32,-0.026125488254121504,-0.037025154868060114,-0.019994836392696204,-0.011507751496317949,118,0.763
UKE41,-0.02404880829276234,-0.03154383010330988,-0.020616012862757688,-0.010468625770390004,118,0.712
UKE42,-0.026324885686314182,-0.03348872216707768,-0.021391077793072477,-0.012798751668898947,120,0.775
UKE44,-0.02404880829276234,-0.03154383010330988,-0.020616012862757688,-0.010468625770390004,118,0.712
UKE45,-0.026324885686314182,-0.03348872216707768,-0.021391077793072477,-0.012798751668898947,120,0.775
