NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
UKC11,,,,,0,0.0
UKC12,-0.4872674464519512,-0.6244394943951009,-0.2925194164627047,-0.15643335939630032,26,0.962
UKC13,-31.22214890030218,-31.22214890030218,-31.22214890030218,-31.22214890030218,1,1.0
UKC14,,,,,0,0.0
UKC21,-0.01257621702769516,-0.020500650348392442,-0.010871813451212011,-0.004480875527076167,25,0.0
UKC22,-22.654498342202853,-22.654498342202853,-22.654498342202853,-22.654498342202853,1,1.0
UKC23,-0.03587402324036722,-0.04957166825719624,-0.025111490346533073,-0.011578637347859418,106,0.349
UKD11,-0.03712457319861465,-0.059873836302952,-0.033936823960142026,-0.013451079179958483,57,0.386
UKD12,,,,,0,0.0
UKD33,-0.1344386614844414,-0.20329037081149984,-0.16812052875938713,-0.0257298265300248,65,0.631
UKD34,-0.1781726886338106,-0.2529799160751479,-0.22126732989131798,-0.02306735949407609,59,0.661
UKD35,-19.55406442835945,-19.55406442835945,-19.55406442835945,-19.55406442835945,1,1.0
UKD36,-22.85948967565306,-22.85948967565306,-22.85948967565306,-22.85948967565306,1,1.0
UKD37,-0.0848624322961437,-0.1393177743099439,-0.05705651592146441,-0.017206597744725542,80,0.512
UKD41,-1.3992410892765175,-0.9086467645748727,-0.4904535548542569,-0.3253777055176851,10,1.0
UKD42,-33.62773523883195,-33.62773523883195,-33.62773523883195,-33.62773523883195,1,1.0
UKD44,-0.007442370412255488,-0.010529502463959242,-0.006295011112271915,-0.003781558710559948,3,0.0
UKD45,-0.06439036362871417,-0.10627768379259997,-0.04569128990164783,-0.016382841121368598,79,0.532
UKD46,-0.3903000981540302,-0.4615477271402664,-0.2417849361222268,-0.05864665929431814,30,0.8
UKD47,-0.02542527993443283,-0.040609357173966916,-0.01606288806565861,-0.006646220194445903,75,0.2
UKD61,-0.04830264548313356,-0.08238215807791319,-0.031205582809652365,-0.010187450228578851,96,0.427
UKD62,-0.01592623228899238,-0.021098697848782558,-0.013711930584836288,-0.007030044897410456,32,0.031
UKD63,-0.018050844706847025,-0.024968810929757945,-0.01431956340885189,-0.006511231326224982,38,0.079
UKD71,,,,,0,0.0
UKD72,-0.027719895701446128,-0.036089604847399814,-0.023500203508186764,-0.009211463583413102,81,0.21
UKD73,-0.032841342634098034,-0.05649499939526026,-0.023977785373490358,-0.010011036160362134,58,0.328
UKD74,-32.044719162525936,-32.044719162525936,-32.044719162525936,-32.044719162525936,1,1.0
UKE11,-30.03093976516857,-30.03093976516857,-30.03093976516857,-30.03093976516857,1,1.0
UKE12,-0.008515911209680881,-0.010488157142334923,-0.005994934612638932,-0.00402268867998489,4,0.0
UKE13,-0.020974372453561006,-0.030665489572519453,-0.016684065709534956,-0.006723564207360151,94,0.149
UKE21,-30.35588769848083,-30.35588769848083,-30.35588769848083,-30.35588769848083,1,1.0
UKE22,,,,,0,0.0
UKE31,-0.014193421294355671,-0.018245794311446444,-0.01148040280595079,-0.004845783377851222,68,0.015
UKE32,-0.010172494071058859,-0.014237472657010015,-0.0037047338891277124,-0.0028736353941421315,3,0.0
UKE41,-0.5607567968742427,-0.6309654500478692,-0.3166052555397044,-0.20246442250275498,22,0.864
UKE42,-0.03222124486345941,-0.05546953258426035,-0.019483947189881945,-0.008537074647800139,75,0.347
