Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
AL: Berat,AL031,0.767,0.435,0.832,0.278,2
AL: Fier,AL032,0.761,1.0,0.892,0.679,4
AL: Vlorë,AL035,0.765,0.603,0.793,0.366,2
AL: Tiranë,AL022,0.788,1.0,0.124,0.098,1
AL: Korcë,AL034,0.792,0.3,0.94,0.223,2
AL: Lezhë,AL014,0.826,0.906,0.948,0.709,4
AL: Gjirokastër,AL033,0.788,0.219,0.895,0.154,1
AL: Kukës,AL013,0.819,0.051,0.01,0.0,0
AL: Shkodër,AL015,0.765,0.185,0.455,0.064,1
AL: Dibër,AL011,0.809,0.432,1.0,0.349,2
AL: Durrës,AL012,0.771,1.0,0.459,0.354,2
AL: Elbasan,AL021,0.776,0.691,0.912,0.489,3
