Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
AT: Mühlviertel,AT313,0.784,0.461,0.4,0.145,1
AT: Lungau,AT321,0.827,0.219,0.135,0.024,1
AT: Oststeiermark,AT224,0.766,1.0,0.637,0.488,3
AT: West- und Südsteiermark,AT225,0.804,0.624,0.631,0.317,2
AT: Pinzgau-Pongau,AT322,0.748,0.125,0.092,0.009,1
AT: Salzburg und Umgebung,AT323,0.768,0.268,0.115,0.024,1
AT: Steyr-Kirchdorf,AT314,0.782,0.49,0.381,0.146,1
AT: Traunviertel,AT315,0.814,0.247,0.342,0.069,1
AT: Außerfern,AT331,0.82,0.525,0.264,0.114,1
AT: Innsbruck,AT332,0.818,0.23,0.274,0.052,1
AT: Osttirol,AT333,0.851,0.106,0.295,0.027,1
AT: Tiroler Oberland,AT334,0.766,0.201,0.284,0.044,1
AT: Östliche Obersteiermark,AT223,0.751,0.231,0.579,0.1,1
AT: Sankt Pölten,AT123,0.732,0.695,0.651,0.331,2
AT: Westliche Obersteiermark,AT226,0.772,0.3,0.568,0.132,1
AT: Innviertel,AT311,0.776,0.709,0.297,0.163,1
AT: Mostviertel-Eisenwurzen,AT121,0.715,0.757,0.566,0.306,2
AT: Niederösterreich-Süd,AT122,0.77,0.19,0.663,0.097,1
AT: Waldviertel,AT124,0.748,0.607,0.661,0.3,2
AT: Linz-Wels,AT312,0.713,0.93,0.372,0.247,2
AT: Tiroler Unterland,AT335,0.816,0.176,0.263,0.038,1
AT: Bludenz-Bregenzer Wald,AT341,0.788,0.438,0.227,0.078,1
AT: Rheintal-Bodenseegebiet,AT342,0.817,0.629,0.251,0.129,1
AT: Mittelburgenland,AT111,0.815,0.68,1.0,0.554,3
AT: Nordburgenland,AT112,0.788,0.735,0.833,0.482,3
AT: Südburgenland,AT113,0.695,0.76,0.872,0.461,3
AT: Wiener Umland/Südteil,AT127,0.676,0.69,0.631,0.294,2
AT: Unterkärnten,AT213,0.792,0.457,0.657,0.238,2
AT: Graz,AT221,0.809,0.657,0.582,0.309,2
AT: Liezen,AT222,0.76,0.087,0.566,0.037,1
AT: Wien,AT130,0.705,1.0,0.01,0.007,1
AT: Oberkärnten,AT212,0.746,0.117,0.558,0.049,1
AT: Wiener Umland/Nordteil,AT126,0.747,0.788,0.261,0.154,1
AT: Weinviertel,AT125,0.756,1.0,0.656,0.496,3
AT: Klagenfurt-Villach,AT211,0.769,0.205,0.647,0.102,1
