Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
BE: Arr. Philippeville,BE353,0.766,0.281,0.921,0.198,1
BE: Arr. Antwerpen,BE211,0.761,0.401,0.365,0.111,1
BE: Arr. Verviers — communes francophones,BE335,0.772,0.095,0.783,0.057,1
BE: Bezirk Verviers — Deutschsprachige Gemeinschaft,BE336,0.758,0.057,0.666,0.029,1
BE: Arr. Brugge,BE251,0.776,0.949,0.613,0.451,3
BE: Arr. Waremme,BE334,0.77,1.0,0.787,0.606,4
BE: Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,BE100,0.775,1.0,0.01,0.008,1
BE: Arr. Mechelen,BE212,0.765,0.876,0.329,0.22,2
BE: Arr. Turnhout,BE213,0.749,0.675,0.383,0.194,1
BE: Arr. Hasselt,BE224,0.751,0.754,0.678,0.384,2
BE: Arr. Maaseik,BE225,0.743,0.555,0.671,0.277,2
BE: Arr. Tongeren,BE223,0.738,0.775,0.72,0.412,3
BE: Arr. Ieper,BE253,0.753,0.722,0.715,0.389,2
BE: Arr. Kortrijk,BE254,0.756,0.89,0.649,0.437,3
BE: Arr. Oostende,BE255,0.759,0.709,0.62,0.334,2
BE: Arr. Roeselare,BE256,0.714,1.0,0.62,0.443,3
BE: Arr. Tielt,BE257,0.722,1.0,0.63,0.455,3
BE: Arr. Veurne,BE258,0.693,0.518,0.666,0.239,2
BE: Arr. Marche-en-Famenne,BE343,0.731,0.09,0.951,0.063,1
BE: Arr. Eeklo,BE233,0.73,1.0,0.649,0.474,3
BE: Arr. Gent,BE234,0.736,0.935,0.668,0.46,3
BE: Arr. Oudenaarde,BE235,0.752,0.866,0.71,0.462,3
BE: Arr. Sint-Niklaas,BE236,0.696,0.914,0.648,0.412,3
BE: Arr. Neufchâteau,BE344,0.745,0.074,0.956,0.053,1
BE: Arr. Virton,BE345,0.715,0.101,0.965,0.07,1
BE: Arr. Arlon,BE341,0.726,0.208,0.438,0.066,1
BE: Arr. Thuin,BE32D,0.707,0.43,0.982,0.299,2
BE: Arr. Huy,BE331,0.715,0.553,0.888,0.351,2
BE: Arr. Liège,BE332,0.724,0.313,0.86,0.195,1
BE: Arr. Dendermonde,BE232,0.72,0.888,0.623,0.398,2
BE: Arr. Nivelles,BE310,0.749,0.776,0.139,0.081,1
BE: Arr. Ath,BE32A,0.778,0.862,0.823,0.552,3
BE: Arr. Charleroi,BE32B,0.791,0.725,0.957,0.549,3
BE: Arr. Mons,BE323,0.717,0.825,0.979,0.579,3
BE: Arr. Diksmuide,BE252,0.717,0.799,0.618,0.354,2
BE: Arr. Soignies,BE32C,0.784,0.954,0.897,0.671,4
BE: Arr. Aalst,BE231,0.732,0.869,0.623,0.396,2
BE: Arr. Tournai-Mouscron,BE328,0.71,0.895,0.864,0.549,3
BE: Arr. Dinant,BE351,0.741,0.175,0.916,0.119,1
BE: Arr. Namur,BE352,0.778,0.556,0.772,0.334,2
BE: Arr. Halle-Vilvoorde,BE241,0.733,0.891,0.061,0.04,1
BE: Arr. Leuven,BE242,0.74,0.865,0.133,0.085,1
BE: Arr. Bastogne,BE342,0.75,0.046,0.723,0.025,1
BE: Arr. La Louvière,BE329,0.701,0.924,1.0,0.648,4
