Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
BG: Pleven,BG314,0.793,0.846,0.981,0.658,4
BG: Varna,BG331,0.779,0.647,0.736,0.371,2
BG: Targovishte,BG334,0.804,0.73,0.966,0.567,3
BG: Vidin,BG311,0.784,0.611,0.94,0.45,3
BG: Montana,BG312,0.772,0.584,0.984,0.444,3
BG: Vratsa,BG313,0.749,0.622,0.843,0.393,2
BG: Dobrich,BG332,0.768,1.0,0.89,0.684,4
BG: Shumen,BG333,0.749,0.727,0.952,0.518,3
BG: Sofia,BG412,0.795,0.427,0.537,0.182,1
BG: Burgas,BG341,0.736,0.29,0.809,0.173,1
BG: Silistra,BG325,0.816,0.981,0.934,0.748,4
BG: Stara Zagora,BG344,0.811,0.881,0.75,0.536,3
BG: Sofia (stolitsa),BG411,0.809,1.0,0.01,0.008,1
BG: Ruse,BG323,0.827,1.0,0.944,0.781,4
BG: Kardzhali,BG425,0.799,0.713,0.981,0.559,3
BG: Sliven,BG342,0.825,0.514,1.0,0.424,3
BG: Yambol,BG343,0.809,0.834,0.938,0.633,4
BG: Haskovo,BG422,0.812,0.737,0.937,0.561,3
BG: Razgrad,BG324,0.807,1.0,0.972,0.784,4
BG: Pazardzhik,BG423,0.796,1.0,0.914,0.728,4
BG: Smolyan,BG424,0.824,0.871,0.898,0.644,4
BG: Gabrovo,BG322,0.744,0.327,0.86,0.209,2
BG: Lovech,BG315,0.74,0.37,0.949,0.26,2
BG: Veliko Tarnovo,BG321,0.776,0.753,0.936,0.547,3
BG: Kyustendil,BG415,0.768,0.889,0.946,0.646,4
BG: Blagoevgrad,BG413,0.774,0.827,0.921,0.59,3
BG: Pernik,BG414,0.746,0.951,0.755,0.536,3
BG: Plovdiv,BG421,0.809,1.0,0.852,0.689,4
