Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FI: Åland,FI200,0.748,0.757,0.01,0.006,1
FI: Kanta-Häme,FI1C2,0.744,1.0,0.109,0.081,1
FI: Päijät-Häme,FI1C3,0.732,0.72,0.102,0.054,1
FI: Satakunta,FI196,0.75,1.0,0.668,0.501,3
FI: Keski-Suomi,FI193,0.73,0.374,0.677,0.185,1
FI: Pirkanmaa,FI197,0.834,0.906,0.668,0.505,3
FI: Pohjanmaa,FI195,0.696,0.947,0.681,0.449,3
FI: Helsinki-Uusimaa,FI1B1,0.743,1.0,0.107,0.08,1
FI: Kymenlaakso,FI1C4,0.761,0.739,0.098,0.055,1
FI: Etelä-Pohjanmaa,FI194,0.723,1.0,0.672,0.486,3
FI: Varsinais-Suomi,FI1C1,0.753,1.0,0.116,0.087,1
FI: Lappi,FI1D7,0.755,0.063,0.633,0.03,1
FI: Etelä-Savo,FI1D1,0.788,0.083,0.959,0.063,1
FI: Pohjois-Karjala,FI1D3,0.736,0.053,1.0,0.039,1
FI: Kainuu,FI1D8,0.787,0.084,0.979,0.065,1
FI: Pohjois-Savo,FI1D2,0.731,0.202,0.976,0.144,1
FI: Keski-Pohjanmaa,FI1D5,0.781,0.47,0.716,0.263,2
FI: Pohjois-Pohjanmaa,FI1D9,0.735,0.151,0.727,0.081,1
FI: Etelä-Karjala,FI1C5,0.723,0.369,0.202,0.054,1
