Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
LT: Šiaulių apskritis,LT026,0.74,1.0,0.819,0.606,4
LT: Tauragės apskritis,LT027,0.774,0.262,1.0,0.203,2
LT: Alytaus apskritis,LT021,0.723,0.383,0.857,0.237,2
LT: Panevėžio apskritis,LT025,0.762,1.0,0.833,0.635,4
LT: Kauno apskritis,LT022,0.752,1.0,0.557,0.419,3
LT: Klaipėdos apskritis,LT023,0.724,0.783,0.405,0.23,2
LT: Marijampolės apskritis,LT024,0.721,0.938,0.928,0.628,4
LT: Telšių apskritis,LT028,0.726,0.44,0.69,0.22,2
LT: Utenos apskritis,LT029,0.724,0.986,0.73,0.521,3
LT: Vilniaus apskritis,LT011,0.721,1.0,0.01,0.007,1
