Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
NL: Zuid-Limburg,NL423,0.76,0.623,0.817,0.387,2
NL: Zuidoost-Noord-Brabant,NL414,0.751,1.0,0.648,0.487,3
NL: Oost-Groningen,NL111,0.746,0.917,0.191,0.131,1
NL: Delfzijl en omgeving,NL112,0.762,1.0,0.01,0.008,1
NL: Noord-Limburg,NL421,0.718,0.935,0.794,0.533,3
NL: Midden-Limburg,NL422,0.762,1.0,0.805,0.613,4
NL: Utrecht,NL310,0.742,0.481,0.412,0.147,1
NL: IJmond,NL323,0.72,0.233,0.367,0.062,1
NL: Agglomeratie Haarlem,NL324,0.711,0.777,0.396,0.219,2
NL: Zaanstreek,NL325,0.756,0.445,0.37,0.124,1
NL: Het Gooi en Vechtstreek,NL327,0.737,0.235,0.387,0.067,1
NL: Alkmaar en omgeving,NL328,0.746,0.347,0.367,0.095,1
NL: Achterhoek,NL225,0.726,0.367,0.863,0.23,2
NL: Arnhem/Nijmegen,NL226,0.738,0.367,0.862,0.233,2
NL: Flevoland,NL230,0.752,0.259,0.759,0.148,1
NL: Kop van Noord-Holland,NL321,0.768,0.174,0.377,0.05,1
NL: Zuidwest-Gelderland,NL224,0.726,0.425,0.735,0.227,2
NL: Overig Groningen,NL113,0.72,0.454,0.108,0.035,1
NL: Noord-Friesland,NL124,0.72,0.202,0.939,0.137,1
NL: Zuidwest-Friesland,NL125,0.726,0.096,0.964,0.067,1
NL: Zuidoost-Friesland,NL126,0.746,0.216,0.899,0.145,1
NL: Zuidoost-Drenthe,NL132,0.713,0.88,0.959,0.602,4
NL: Zuidwest-Drenthe,NL133,0.729,0.386,1.0,0.281,2
NL: Noord-Overijssel,NL211,0.747,0.364,0.86,0.234,2
NL: Zuidwest-Overijssel,NL212,0.733,0.448,0.832,0.273,2
NL: Twente,NL213,0.759,0.446,0.827,0.28,2
NL: Veluwe,NL221,0.79,0.517,0.776,0.317,2
NL: Midden-Noord-Brabant,NL412,0.762,0.677,0.628,0.324,2
NL: Groot-Amsterdam,NL329,0.761,0.444,0.393,0.133,1
NL: Agglomeratie ’s-Gravenhage,NL332,0.754,1.0,0.628,0.474,3
NL: Delft en Westland,NL333,0.761,0.948,0.63,0.454,3
NL: Agglomeratie Leiden en Bollenstreek,NL337,0.766,0.602,0.603,0.278,2
NL: Zuidoost-Zuid-Holland,NL33A,0.744,0.457,0.616,0.209,2
NL: Oost-Zuid-Holland,NL33B,0.732,0.378,0.588,0.163,1
NL: Groot-Rijnmond,NL33C,0.735,0.434,0.628,0.2,1
NL: Zeeuwsch-Vlaanderen,NL341,0.737,1.0,0.844,0.622,4
NL: Overig Zeeland,NL342,0.718,0.431,0.703,0.218,2
NL: West-Noord-Brabant,NL411,0.755,0.451,0.625,0.213,2
NL: Noordoost-Noord-Brabant,NL413,0.737,0.877,0.683,0.441,3
NL: Noord-Drenthe,NL131,0.743,0.557,0.577,0.239,2
