Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
RS: Zapadnobačka oblast,RS121,0.767,0.743,0.161,0.092,1
RS: Južnobanatska oblast,RS122,0.773,0.69,0.216,0.115,1
RS: Južnobačka oblast,RS123,0.78,0.939,0.838,0.614,4
RS: Pirotska oblast,RS226,0.754,0.794,0.656,0.393,2
RS: Podunavska oblast,RS227,0.726,1.0,0.667,0.484,3
RS: Raška oblast,RS217,0.71,0.27,0.634,0.122,1
RS: Borska oblast,RS221,0.791,0.184,0.631,0.092,1
RS: Zaječarska oblast,RS223,0.761,0.537,0.636,0.26,2
RS: Severnobanatska oblast,RS124,0.748,0.919,0.232,0.159,1
RS: Jablanička oblast,RS224,0.739,0.894,0.78,0.515,3
RS: Pomoravska oblast,RS215,0.757,0.801,0.571,0.346,2
RS: Rasinska oblast,RS216,0.73,0.866,0.63,0.398,2
RS: Pčinjska oblast,RS228,0.728,0.753,0.526,0.288,2
RS: Toplička oblast,RS229,0.776,0.794,0.308,0.19,1
RS: Braničevska oblast,RS222,0.754,0.282,0.461,0.098,1
RS: City of Belgrade,RS110,0.728,1.0,0.01,0.007,1
RS: Mačvanska oblast,RS213,0.765,0.767,0.687,0.403,3
RS: Moravička oblast,RS214,0.811,0.689,0.56,0.313,2
RS: Nišavska oblast,RS225,0.769,0.821,0.497,0.314,2
RS: Šumadijska oblast,RS218,0.801,1.0,1.0,0.801,5
RS: Severnobačka oblast,RS125,0.785,1.0,0.261,0.205,2
RS: Srednjobanatska oblast,RS126,0.755,1.0,0.369,0.279,2
RS: Sremska oblast,RS127,0.783,0.667,0.568,0.297,2
RS: Zlatiborska oblast,RS211,0.736,0.295,0.503,0.109,1
RS: Kolubarska oblast,RS212,0.734,1.0,0.51,0.374,2
