Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
SI: Primorsko-notranjska,SI038,0.769,0.58,0.797,0.355,2
SI: Posavska,SI036,0.741,1.0,0.936,0.694,4
SI: Goriška,SI043,0.748,0.511,0.49,0.187,1
SI: Osrednjeslovenska,SI041,0.758,0.998,0.01,0.008,1
SI: Gorenjska,SI042,0.763,0.713,0.619,0.337,2
SI: Jugovzhodna Slovenija,SI037,0.796,0.555,0.705,0.311,2
SI: Savinjska,SI034,0.751,0.788,0.757,0.448,3
SI: Zasavska,SI035,0.745,1.0,0.606,0.451,3
SI: Pomurska,SI031,0.761,1.0,1.0,0.761,4
SI: Koroška,SI033,0.754,0.394,0.832,0.247,2
SI: Podravska,SI032,0.758,1.0,0.818,0.62,4
SI: Obalno-kraška,SI044,0.752,1.0,0.469,0.353,2
