Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
TR: Burdur,TR613,0.792,0.358,0.611,0.173,1
TR: Kastamonu,TR821,0.832,0.098,0.665,0.054,1
TR: Çankırı,TR822,0.811,0.224,0.573,0.104,1
TR: Yalova,TR425,0.839,0.319,0.248,0.066,1
TR: Ankara,TR510,0.844,0.526,0.392,0.174,1
TR: Kırklareli,TR213,0.812,0.568,0.189,0.087,1
TR: Yozgat,TR723,0.837,0.421,0.903,0.318,2
TR: Zonguldak,TR811,0.841,0.423,0.558,0.199,1
TR: Muş,TRB22,0.797,0.225,1.0,0.179,1
TR: Bitlis,TRB23,0.793,0.192,0.983,0.15,1
TR: Sinop,TR823,0.823,0.098,0.748,0.06,1
TR: Samsun,TR831,0.792,0.404,0.697,0.223,2
TR: Tokat,TR832,0.826,0.246,0.787,0.16,1
TR: Balıkesir,TR221,0.833,0.586,0.588,0.287,2
TR: Karabük,TR812,0.807,0.139,0.572,0.064,1
TR: Bartın,TR813,0.821,0.299,0.58,0.142,1
TR: Sivas,TR722,0.78,0.222,0.775,0.134,1
TR: Muğla,TR323,0.809,0.24,0.251,0.049,1
TR: Bolu,TR424,0.786,0.738,0.021,0.012,1
TR: Eskişehir,TR412,0.806,0.528,0.465,0.198,1
TR: Bilecik,TR413,0.771,0.352,0.437,0.119,1
TR: Kocaeli,TR421,0.757,0.645,0.257,0.125,1
TR: Hakkari,TRB24,0.862,0.407,0.918,0.322,2
TR: Denizli,TR322,0.727,0.44,0.572,0.183,1
TR: Van,TRB21,0.864,0.336,0.927,0.269,2
TR: Gaziantep,TRC11,0.863,0.691,0.668,0.398,2
TR: Diyarbakır,TRC22,0.747,0.509,0.815,0.31,2
TR: Mardin,TRC31,0.864,1.0,0.935,0.808,5
TR: Konya,TR521,0.816,0.694,0.71,0.402,3
TR: Karaman,TR522,0.856,0.636,0.699,0.381,2
TR: Trabzon,TR901,0.878,0.212,0.746,0.139,1
TR: Antalya,TR611,0.8,0.215,0.551,0.095,1
TR: Isparta,TR612,0.822,0.375,0.738,0.227,2
TR: Çorum,TR833,0.805,0.373,0.707,0.212,2
TR: Amasya,TR834,0.849,0.422,0.756,0.271,2
TR: Ordu,TR902,0.789,0.26,0.85,0.174,1
TR: Giresun,TR903,0.779,0.144,0.768,0.086,1
TR: Adıyaman,TRC12,0.796,0.361,0.892,0.256,2
TR: Kilis,TRC13,0.785,1.0,0.748,0.587,3
TR: Şanlıurfa,TRC21,0.803,0.975,0.89,0.697,4
TR: Osmaniye,TR633,0.807,0.646,0.63,0.328,2
TR: Kırıkkale,TR711,0.807,0.601,0.402,0.195,1
TR: Kütahya,TR333,0.81,0.461,0.655,0.245,2
TR: Uşak,TR334,0.774,0.89,0.73,0.503,3
TR: Bursa,TR411,0.798,0.544,0.255,0.111,1
TR: Erzincan,TRA12,0.768,0.039,0.841,0.025,1
TR: Bayburt,TRA13,0.798,0.14,0.867,0.097,1
TR: Aksaray,TR712,0.78,0.862,0.646,0.434,3
TR: Niğde,TR713,0.814,0.765,0.663,0.413,3
TR: Nevşehir,TR714,0.818,0.626,0.605,0.31,2
TR: Kırşehir,TR715,0.786,0.633,0.707,0.352,2
TR: Kayseri,TR721,0.735,0.452,0.663,0.22,2
TR: Elazığ,TRB12,0.716,0.199,0.699,0.1,1
TR: Bingöl,TRB13,0.812,0.078,0.922,0.058,1
TR: Tunceli,TRB14,0.825,0.057,0.742,0.035,1
TR: İstanbul,TR100,0.781,1.0,0.248,0.194,1
TR: Ağrı,TRA21,0.779,0.25,1.0,0.195,1
TR: Kars,TRA22,0.752,0.184,0.919,0.127,1
TR: Iğdır,TRA23,0.75,0.265,0.919,0.183,1
TR: Ardahan,TRA24,0.751,0.231,0.909,0.158,1
TR: Sakarya,TR422,0.855,1.0,0.539,0.461,3
TR: Düzce,TR423,0.757,0.69,0.01,0.005,1
TR: Tekirdağ,TR211,0.838,0.727,0.41,0.25,2
TR: Edirne,TR212,0.782,0.773,0.467,0.282,2
TR: Siirt,TRC34,0.783,0.203,0.916,0.146,1
TR: Çanakkale,TR222,0.806,0.479,0.511,0.197,1
TR: Manisa,TR331,0.825,1.0,0.462,0.381,2
TR: Afyonkarahisar,TR332,0.769,0.664,0.787,0.402,3
TR: İzmir,TR310,0.815,0.786,0.271,0.174,1
TR: Malatya,TRB11,0.874,0.252,0.772,0.17,1
TR: Adana,TR621,0.86,0.537,0.627,0.29,2
TR: Mersin,TR622,0.829,0.473,0.489,0.192,1
TR: Hatay,TR631,0.818,0.675,0.702,0.388,2
TR: Kahramanmaraş,TR632,0.818,0.574,0.721,0.339,2
TR: Rize,TR904,0.787,0.054,0.655,0.028,1
TR: Artvin,TR905,0.776,0.069,0.639,0.034,1
TR: Gümüşhane,TR906,0.857,0.13,0.851,0.095,1
TR: Erzurum,TRA11,0.812,0.081,0.871,0.057,1
TR: Batman,TRC32,0.823,0.377,0.903,0.28,2
TR: Şırnak,TRC33,0.871,0.227,0.926,0.183,1
TR: Aydın,TR321,0.784,0.485,0.579,0.22,2
